Model,Nested OOF Accuracy,Nested OOF Log Loss,Fold Mean,Fold Std,Fold Min,Fold Max
Gradient Boosting,0.8473625140291807,0.37187244027572597,0.8473667691921412,0.011935867740025988,0.8258426966292135,0.8595505617977528
Extra Trees,0.8473625140291807,0.38005594443582785,0.8473416609126859,0.012224100006079855,0.8314606741573034,0.8659217877094972
Random Forest,0.8462401795735129,0.37403411474295856,0.8462306195467957,0.01499559803380133,0.8314606741573034,0.8707865168539326
Logistic Regression,0.8383838383838383,0.38535401953495885,0.8383968363567886,0.015902346682087738,0.8146067415730337,0.8595505617977528
