Model,OOF Accuracy,OOF Log Loss
Random Forest,0.8540965207631874,0.3949264454620243
Optimized Weighted Blend,0.8540965207631874,0.3800667064908438
Best Top-N Equal Ensemble,0.8518518518518519,0.3821208882705822
Equal Weight - All Models,0.8518518518518519,0.3821208882705822
Gradient Boosting,0.8383838383838383,0.40163168452338893
Logistic Regression,0.8361391694725028,0.4140885800195418
