DemographicRole,Passengers,Accuracy,ErrorRate
AdultMale,533,0.8367729831144465,0.16322701688555352
Boy,44,0.9545454545454546,0.045454545454545414
Girl,43,0.9302325581395349,0.06976744186046513
Woman,271,0.8450184501845018,0.15498154981549817
