Experiment,N Features,Mean CV Accuracy,CV Std,Train Accuracy,Train-CV Gap,Change vs All
All Features,21,0.8349946644906158,0.01593062456684275,0.9172282017744298,0.082233537283814,0.0
Without Title,20,0.8394702153034963,0.01956674943660094,0.9116177096301433,0.07214749432664702,0.0044755508128805355
Without Family,18,0.8372355784319879,0.01530997799954898,0.9166675859243266,0.0794320074923387,0.002240913941372158
Without Cabin,19,0.8316301550436258,0.013511961159742824,0.9110551239421971,0.07942496889857131,-0.0033645094469899606
Without Ticket,17,0.8394764923733602,0.01985426977557808,0.9057235608364719,0.06624706846311168,0.004481827882744427
Without Age,18,0.8406000878789781,0.017835511714199368,0.9163866870479221,0.07578659916894404,0.0056054233883623406
Without Interaction,20,0.831617600903898,0.015772866474454597,0.9189112312274454,0.08729363032354742,-0.0033770635867177434
