Model A,Weight A,Model B,Weight B,Model C,Weight C,Accuracy,Log Loss
Logistic Regression,0.0,Random Forest,1.0,Extra Trees,0.0,0.8462401795735129,0.3755190960496185
Logistic Regression,0.0,Random Forest,0.9,Extra Trees,0.1,0.8462401795735129,0.3758099934951725
Logistic Regression,0.0,Random Forest,0.5,Extra Trees,0.5,0.8462401795735129,0.37754368157263396
Logistic Regression,0.0,Random Forest,0.3,Extra Trees,0.7,0.8462401795735129,0.37881156568300484
Logistic Regression,0.0,Random Forest,0.2,Extra Trees,0.8,0.8462401795735129,0.37956985515204605
Logistic Regression,0.0,Random Forest,0.1,Extra Trees,0.9,0.8462401795735129,0.38042695318394715
Logistic Regression,0.1,Random Forest,0.9,Extra Trees,0.0,0.8451178451178452,0.37480844216391873
Logistic Regression,0.1,Random Forest,0.8,Extra Trees,0.1,0.8451178451178452,0.3751132637069939
Logistic Regression,0.1,Random Forest,0.7,Extra Trees,0.2,0.8451178451178452,0.3754742871147628
Logistic Regression,0.1,Random Forest,0.6,Extra Trees,0.3,0.8451178451178452,0.3758946273667764
Logistic Regression,0.5,Random Forest,0.5,Extra Trees,0.0,0.8451178451178452,0.37609193499011123
Logistic Regression,0.1,Random Forest,0.4,Extra Trees,0.5,0.8451178451178452,0.37692986837355374
Logistic Regression,0.0,Random Forest,0.6,Extra Trees,0.4,0.8451178451178452,0.377017814875272
Logistic Regression,0.5,Random Forest,0.2,Extra Trees,0.3,0.8451178451178452,0.3775402657197533
Logistic Regression,0.0,Random Forest,0.4,Extra Trees,0.6,0.8451178451178452,0.3781392704681534
Logistic Regression,0.5,Random Forest,0.1,Extra Trees,0.4,0.8451178451178452,0.3781976429135769
Logistic Regression,0.0,Random Forest,0.0,Extra Trees,1.0,0.8451178451178452,0.38140145750078214
Logistic Regression,0.0,Random Forest,0.8,Extra Trees,0.2,0.8439955106621774,0.37615480161485837
Logistic Regression,0.1,Random Forest,0.5,Extra Trees,0.4,0.8439955106621774,0.37637817844907767
Logistic Regression,0.5,Random Forest,0.4,Extra Trees,0.1,0.8439955106621774,0.37649574764329014
Logistic Regression,0.0,Random Forest,0.7,Extra Trees,0.3,0.8439955106621774,0.37655627347992077
Logistic Regression,0.5,Random Forest,0.3,Extra Trees,0.2,0.8439955106621774,0.376976178991835
Logistic Regression,0.1,Random Forest,0.3,Extra Trees,0.6,0.8439955106621774,0.37755604530899517
Logistic Regression,0.1,Random Forest,0.2,Extra Trees,0.7,0.8439955106621774,0.3782650878049163
Logistic Regression,0.6,Random Forest,0.2,Extra Trees,0.2,0.8439955106621774,0.3786400603385393
Logistic Regression,0.5,Random Forest,0.0,Extra Trees,0.5,0.8439955106621774,0.3789619589500574
Logistic Regression,0.1,Random Forest,0.1,Extra Trees,0.8,0.8439955106621774,0.37906842269196683
Logistic Regression,0.6,Random Forest,0.1,Extra Trees,0.3,0.8439955106621774,0.37927265147310385
Logistic Regression,0.1,Random Forest,0.0,Extra Trees,0.9,0.8439955106621774,0.3799823449894916
Logistic Regression,0.2,Random Forest,0.8,Extra Trees,0.0,0.8428731762065096,0.374485096654022
Logistic Regression,0.2,Random Forest,0.7,Extra Trees,0.1,0.8428731762065096,0.37480738363437877
Logistic Regression,0.4,Random Forest,0.6,Extra Trees,-0.0,0.8428731762065096,0.3750867080326966
Logistic Regression,0.2,Random Forest,0.6,Extra Trees,0.2,0.8428731762065096,0.37518892762756506
Logistic Regression,0.2,Random Forest,0.5,Extra Trees,0.3,0.8428731762065096,0.37563334624886563
Logistic Regression,0.2,Random Forest,0.4,Extra Trees,0.4,0.8428731762065096,0.3761452245560261
Logistic Regression,0.2,Random Forest,0.3,Extra Trees,0.5,0.8428731762065096,0.3767304627869323
Logistic Regression,0.6,Random Forest,0.0,Extra Trees,0.4,0.8428731762065096,0.3800173046123252
Logistic Regression,0.3,Random Forest,0.7,Extra Trees,-0.0,0.8417508417508418,0.3745673989654953
Logistic Regression,0.3,Random Forest,0.6,Extra Trees,0.1,0.8417508417508418,0.3749112537140584
Logistic Regression,0.3,Random Forest,0.5,Extra Trees,0.2,0.8417508417508418,0.37531844231583444
Logistic Regression,0.4,Random Forest,0.5,Extra Trees,0.1,0.8417508417508418,0.375457200538736
Logistic Regression,0.3,Random Forest,0.4,Extra Trees,0.3,0.8417508417508418,0.3757932965248507
Logistic Regression,0.4,Random Forest,0.4,Extra Trees,0.2,0.8417508417508418,0.3758965586655021
Logistic Regression,0.3,Random Forest,0.3,Extra Trees,0.4,0.8417508417508418,0.37634140770100644
Logistic Regression,0.4,Random Forest,0.3,Extra Trees,0.3,0.8417508417508418,0.3764101690932189
Logistic Regression,0.3,Random Forest,0.2,Extra Trees,0.5,0.8417508417508418,0.37697013266950846
Logistic Regression,0.2,Random Forest,0.2,Extra Trees,0.6,0.8417508417508418,0.37739682020415877
Logistic Regression,0.6,Random Forest,0.4,Extra Trees,-0.0,0.8417508417508418,0.3776587584103058
Logistic Regression,0.3,Random Forest,0.1,Extra Trees,0.6,0.8417508417508418,0.3776894194646936
Logistic Regression,0.6,Random Forest,0.3,Extra Trees,0.1,0.8417508417508418,0.37810537519138004
Logistic Regression,0.2,Random Forest,0.1,Extra Trees,0.7,0.8417508417508418,0.3781548090861774
Logistic Regression,0.7,Random Forest,0.3,Extra Trees,-0.0,0.8417508417508418,0.3799092554796338
Logistic Regression,0.7,Random Forest,0.2,Extra Trees,0.1,0.8417508417508418,0.3804135622760627
Logistic Regression,0.4,Random Forest,0.2,Extra Trees,0.4,0.8406285072951739,0.3770051585911652
Logistic Regression,0.4,Random Forest,0.1,Extra Trees,0.5,0.8406285072951739,0.37769119389856093
Logistic Regression,0.4,Random Forest,0.0,Extra Trees,0.6,0.8406285072951739,0.3784818678632538
Logistic Regression,0.2,Random Forest,0.0,Extra Trees,0.8,0.8406285072951739,0.3790192605333951
Logistic Regression,0.7,Random Forest,0.1,Extra Trees,0.2,0.8406285072951739,0.3810243165752424
Logistic Regression,0.3,Random Forest,0.0,Extra Trees,0.7,0.8395061728395061,0.3785132393174329
