Model,Feature Set,N Features,Train Accuracy,Mean CV Accuracy,CV Std,Min CV Accuracy,Max CV Accuracy,Train-CV Gap,Improvement vs Core
Gradient Boosting,04_Add_Cabin,13,0.9071264793482202,0.838359173937606,0.018780699316993665,0.8089887640449438,0.8603351955307262,0.06876730541061427,0.003358232377126291
Logistic Regression,02_Core_Title,8,0.8333324140756734,0.8361308141359614,0.009793665365456472,0.8202247191011236,0.848314606741573,-0.0027984000602879755,0.03365764860962894
Random Forest,07_Add_Interaction,21,0.9927041145972864,0.8406189190885694,0.009936214970106353,0.8258426966292135,0.8539325842696629,0.1520851955087169,0.02131692925742268
