Weight_Random Forest,Weight_Gradient Boosting,Weight_Logistic Regression,OOF Accuracy,OOF Log Loss
0.0,0.0,1.0,0.8361391694725028,0.4140885800195418
0.0,0.05,0.95,0.8361391694725028,0.41010807319649534
0.0,0.1,0.9,0.8338945005611672,0.4066901669162875
0.0,0.15000000000000002,0.85,0.8327721661054994,0.4037157349852506
0.0,0.2,0.8,0.8338945005611672,0.40111671528532855
0.0,0.25,0.75,0.8338945005611672,0.39885064463781345
0.0,0.30000000000000004,0.7,0.8428731762065096,0.3968898829078987
0.0,0.35000000000000003,0.6499999999999999,0.8439955106621774,0.3952163557656247
0.0,0.4,0.6,0.8451178451178452,0.39381876037576846
0.0,0.45,0.55,0.8462401795735129,0.3926910240225645
0.0,0.5,0.5,0.8451178451178452,0.3918314816027496
0.0,0.55,0.44999999999999996,0.8451178451178452,0.39124252604772014
0.0,0.6000000000000001,0.3999999999999999,0.8439955106621774,0.3909306299240767
0.0,0.65,0.35,0.8473625140291807,0.39090672841285407
0.0,0.7000000000000001,0.29999999999999993,0.8451178451178452,0.39118703955699335
0.0,0.75,0.25,0.8462401795735129,0.3917945179739637
0.0,0.8,0.19999999999999996,0.8428731762065096,0.392761363409458
0.0,0.8500000000000001,0.1499999999999999,0.8395061728395061,0.3941335118525764
0.0,0.9,0.09999999999999998,0.8395061728395061,0.3959793737069186
0.0,0.9500000000000001,0.04999999999999993,0.8395061728395061,0.39840938499392115
0.0,1.0,0.0,0.8383838383838383,0.40163168452338893
0.05,0.0,0.95,0.8361391694725028,0.40874265897888473
0.05,0.05,0.8999999999999999,0.835016835016835,0.40530143181906425
0.05,0.1,0.85,0.8327721661054994,0.4023019658440804
0.05,0.15000000000000002,0.7999999999999999,0.8327721661054994,0.3996760385306982
0.05,0.2,0.75,0.8372615039281706,0.39738113368033
0.05,0.25,0.7,0.8383838383838383,0.3953895212415185
0.05,0.30000000000000004,0.6499999999999999,0.8451178451178452,0.3936829760083806
0.05,0.35000000000000003,0.5999999999999999,0.8451178451178452,0.39224997937072137
0.05,0.4,0.5499999999999999,0.8439955106621774,0.3910841734769345
0.05,0.45,0.49999999999999994,0.8439955106621774,0.39018352876800505
0.05,0.5,0.44999999999999996,0.8451178451178452,0.38954997666761626
0.05,0.55,0.3999999999999999,0.8439955106621774,0.3891894027681758
0.05,0.6000000000000001,0.34999999999999987,0.8462401795735129,0.3891119855329188
0.05,0.65,0.29999999999999993,0.8451178451178452,0.3893329467798497
0.05,0.7000000000000001,0.2499999999999999,0.8439955106621774,0.3898738915930404
0.05,0.75,0.19999999999999996,0.8451178451178452,0.39076512093818633
0.05,0.8,0.1499999999999999,0.8428731762065096,0.3920497589243766
0.05,0.8500000000000001,0.09999999999999987,0.8406285072951739,0.39379173972543824
0.05,0.9,0.04999999999999993,0.8406285072951739,0.3960935447906198
0.1,0.0,0.9,0.835016835016835,0.4041036967680294
0.1,0.05,0.85,0.8338945005611672,0.401073307397986
0.1,0.1,0.8,0.8316498316498316,0.3984166006861755
0.1,0.15000000000000002,0.75,0.8372615039281706,0.39609041218262986
0.1,0.2,0.7,0.8406285072951739,0.3940666010077344
0.1,0.25,0.65,0.8417508417508418,0.39232661268829794
0.1,0.30000000000000004,0.6,0.8439955106621774,0.39085861808454464
0.1,0.35000000000000003,0.55,0.8417508417508418,0.3896559349276987
0.1,0.4,0.5,0.8451178451178452,0.38871617211534765
0.1,0.45,0.45,0.8439955106621774,0.38804083982224674
0.1,0.5,0.4,0.8451178451178452,0.387635315374547
0.1,0.55,0.35,0.8484848484848485,0.3875091443948126
0.1,0.6000000000000001,0.29999999999999993,0.8496071829405163,0.3876767353206427
0.1,0.65,0.25,0.8451178451178452,0.38815861034544963
0.1,0.7000000000000001,0.19999999999999996,0.8462401795735129,0.3889835668100033
0.1,0.75,0.15000000000000002,0.8439955106621774,0.3901925257907293
0.1,0.8,0.09999999999999998,0.8428731762065096,0.39184594722764216
0.1,0.8500000000000001,0.04999999999999993,0.8428731762065096,0.3940401960574511
0.1,0.9,0.0,0.8406285072951739,0.39695329342160474
0.15000000000000002,0.0,0.85,0.835016835016835,0.4000161140564604
0.15000000000000002,0.05,0.7999999999999999,0.8338945005611672,0.39732471309186224
0.15000000000000002,0.1,0.75,0.8338945005611672,0.3949647041899025
0.15000000000000002,0.15000000000000002,0.7,0.8395061728395061,0.39290721165902887
0.15000000000000002,0.2,0.6499999999999999,0.8417508417508418,0.3911331682088662
0.15000000000000002,0.25,0.6,0.8417508417508418,0.3896303320783729
0.15000000000000002,0.30000000000000004,0.5499999999999999,0.8439955106621774,0.3883916474793238
0.15000000000000002,0.35000000000000003,0.49999999999999994,0.8428731762065096,0.3874143517303478
0.15000000000000002,0.4,0.44999999999999996,0.8462401795735129,0.38669955688119145
0.15000000000000002,0.45,0.39999999999999997,0.8462401795735129,0.38625218773019365
0.15000000000000002,0.5,0.35,0.8484848484848485,0.3860812495628023
0.15000000000000002,0.55,0.29999999999999993,0.8507295173961841,0.3862004763799336
0.15000000000000002,0.6000000000000001,0.2499999999999999,0.8473625140291807,0.386629510783771
0.15000000000000002,0.65,0.19999999999999996,0.8451178451178452,0.38739594654186793
0.15000000000000002,0.7000000000000001,0.1499999999999999,0.8428731762065096,0.38853895984949394
0.15000000000000002,0.75,0.09999999999999998,0.8417508417508418,0.39011628017710936
0.15000000000000002,0.8,0.04999999999999993,0.8428731762065096,0.3922194925052882
0.2,0.0,0.8,0.835016835016835,0.39639041332255054
0.2,0.05,0.75,0.8361391694725028,0.39399384734696
0.2,0.1,0.7000000000000001,0.8383838383838383,0.39190098970481374
0.2,0.15000000000000002,0.65,0.8406285072951739,0.39009206007086583
0.2,0.2,0.6000000000000001,0.8417508417508418,0.38855428955071813
0.2,0.25,0.55,0.8428731762065096,0.3872801885439282
0.2,0.30000000000000004,0.5,0.8451178451178452,0.38626660106442107
0.2,0.35000000000000003,0.45,0.8439955106621774,0.38551425063338424
0.2,0.4,0.4,0.8484848484848485,0.3850276485022865
0.2,0.45,0.35000000000000003,0.8484848484848485,0.384815330335053
0.2,0.5,0.30000000000000004,0.8507295173961841,0.3848904651632808
0.2,0.55,0.25,0.8484848484848485,0.38527197784203776
0.2,0.6000000000000001,0.19999999999999996,0.8473625140291807,0.38598649768432813
0.2,0.65,0.15000000000000002,0.8439955106621774,0.3870718193846022
0.2,0.7000000000000001,0.09999999999999998,0.8428731762065096,0.3885835260293935
0.2,0.75,0.050000000000000044,0.8428731762065096,0.3906094544361676
0.2,0.8,0.0,0.8395061728395061,0.3933094882843059
0.25,0.0,0.75,0.835016835016835,0.3931703417026134
0.25,0.05,0.7,0.8372615039281706,0.391040170334555
0.25,0.1,0.65,0.8406285072951739,0.3891952725436527
0.25,0.15000000000000002,0.6,0.8417508417508418,0.3876222191300686
0.25,0.2,0.55,0.8417508417508418,0.38631301269722207
0.25,0.25,0.5,0.8417508417508418,0.38526407044212263
0.25,0.30000000000000004,0.44999999999999996,0.8451178451178452,0.38447572523931195
0.25,0.35000000000000003,0.39999999999999997,0.8451178451178452,0.38395210072451186
0.25,0.4,0.35,0.8496071829405163,0.3837013178395827
0.25,0.45,0.3,0.8507295173961841,0.38373606969105845
0.25,0.5,0.25,0.8529741863075196,0.38407469741993855
0.25,0.55,0.19999999999999996,0.8462401795735129,0.38474306508745404
0.25,0.6000000000000001,0.1499999999999999,0.8439955106621774,0.3857778883442659
0.25,0.65,0.09999999999999998,0.8451178451178452,0.38723308698874187
0.25,0.7000000000000001,0.04999999999999993,0.8439955106621774,0.38919359201703324
0.25,0.75,0.0,0.8406285072951739,0.39181300616855624
0.30000000000000004,0.0,0.7,0.8383838383838383,0.39031900787073714
0.30000000000000004,0.05,0.6499999999999999,0.8395061728395061,0.38843677126915027
0.30000000000000004,0.1,0.6,0.8406285072951739,0.3868278174770691
0.30000000000000004,0.15000000000000002,0.5499999999999999,0.8417508417508418,0.38548354982942534
0.30000000000000004,0.2,0.49999999999999994,0.8439955106621774,0.38439991216459546
0.30000000000000004,0.25,0.44999999999999996,0.8462401795735129,0.38357683343093646
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.8451178451178452,0.38301806465365085
0.30000000000000004,0.35000000000000003,0.3499999999999999,0.8496071829405163,0.38273135495776567
0.30000000000000004,0.4,0.29999999999999993,0.8507295173961841,0.38272899613392913
0.30000000000000004,0.45,0.24999999999999994,0.8518518518518519,0.38302886092623245
0.30000000000000004,0.5,0.19999999999999996,0.8484848484848485,0.3836562214078239
0.30000000000000004,0.55,0.1499999999999999,0.8439955106621774,0.3846469780838345
0.30000000000000004,0.6000000000000001,0.09999999999999987,0.8451178451178452,0.3860538080436387
0.30000000000000004,0.65,0.04999999999999993,0.8451178451178452,0.3879594641498367
0.35000000000000003,0.0,0.6499999999999999,0.8428731762065096,0.38781213111088625
0.35000000000000003,0.05,0.5999999999999999,0.8428731762065096,0.38616636800664805
0.35000000000000003,0.1,0.5499999999999999,0.8439955106621774,0.38478681429511336
0.35000000000000003,0.15000000000000002,0.4999999999999999,0.8473625140291807,0.38366887846292513
0.35000000000000003,0.2,0.4499999999999999,0.8473625140291807,0.3828120606134522
0.35000000000000003,0.25,0.3999999999999999,0.8496071829405163,0.3822197442608261
0.35000000000000003,0.30000000000000004,0.34999999999999987,0.8518518518518519,0.3818993400886382
0.35000000000000003,0.35000000000000003,0.2999999999999999,0.8507295173961841,0.38186280291296865
0.35000000000000003,0.4,0.2499999999999999,0.8518518518518519,0.3821276401857798
0.35000000000000003,0.45,0.1999999999999999,0.8496071829405163,0.3827186894104432
0.35000000000000003,0.5,0.1499999999999999,0.8473625140291807,0.383671277486767
0.35000000000000003,0.55,0.09999999999999987,0.8451178451178452,0.38503722472482005
0.35000000000000003,0.6000000000000001,0.04999999999999982,0.8451178451178452,0.3868977728224295
0.4,0.0,0.6,0.8451178451178452,0.38563449330079086
0.4,0.05,0.5499999999999999,0.8462401795735129,0.3842191472704624
0.4,0.1,0.5,0.8496071829405163,0.38306705375471073
0.4,0.15000000000000002,0.44999999999999996,0.8496071829405163,0.382177245970959
0.4,0.2,0.39999999999999997,0.8496071829405163,0.3815527352611455
0.4,0.25,0.35,0.8507295173961841,0.3812006192592659
0.4,0.30000000000000004,0.29999999999999993,0.8540965207631874,0.3811325729410971
0.4,0.35000000000000003,0.24999999999999994,0.8540965207631874,0.38136583439676264
0.4,0.4,0.19999999999999996,0.8507295173961841,0.38192495614262284
0.4,0.45,0.14999999999999997,0.8507295173961841,0.38284492368636897
0.4,0.5,0.09999999999999998,0.8439955106621774,0.38417707445701027
0.4,0.55,0.04999999999999993,0.8428731762065096,0.38600178924672046
0.45,0.0,0.55,0.8473625140291807,0.38377804931471177
0.45,0.05,0.5,0.8484848484848485,0.38259167740169125
0.45,0.1,0.45000000000000007,0.8507295173961841,0.3816693957090468
0.45,0.15000000000000002,0.4,0.8507295173961841,0.3810138283188991
0.45,0.2,0.35000000000000003,0.8496071829405163,0.3806317780915855
0.45,0.25,0.30000000000000004,0.8540965207631874,0.380534692482891
0.45,0.30000000000000004,0.25,0.8540965207631874,0.3807396332666109
0.45,0.35000000000000003,0.2,0.8529741863075196,0.3812710168075105
0.45,0.4,0.15000000000000002,0.8484848484848485,0.3821637219187959
0.45,0.45,0.10000000000000003,0.8484848484848485,0.3834689859116304
0.45,0.5,0.050000000000000044,0.8462401795735129,0.38526700363700156
0.45,0.55,0.0,0.8473625140291807,0.3877000507145513
0.5,0.0,0.5,0.8473625140291807,0.382241031843415
0.5,0.05,0.45,0.8496071829405163,0.3812865624372911
0.5,0.1,0.4,0.8518518518518519,0.3806008803914312
0.5,0.15000000000000002,0.35,0.8507295173961841,0.38019050525544773
0.5,0.2,0.3,0.8540965207631874,0.3800667064908438
0.5,0.25,0.25,0.8518518518518519,0.3802464637850014
0.5,0.30000000000000004,0.19999999999999996,0.8518518518518519,0.38075421250028685
0.5,0.35000000000000003,0.14999999999999997,0.8473625140291807,0.38162497408323626
0.5,0.4,0.09999999999999998,0.8473625140291807,0.38291029944369065
0.5,0.45,0.04999999999999999,0.8484848484848485,0.3846909422995234
0.5,0.5,0.0,0.8473625140291807,0.38710992814873296
0.55,0.0,0.44999999999999996,0.8484848484848485,0.38102777569681395
0.55,0.05,0.39999999999999997,0.8484848484848485,0.3803127384574667
0.55,0.1,0.35,0.8507295173961841,0.37987551083344806
0.55,0.15000000000000002,0.29999999999999993,0.8507295173961841,0.3797272328922296
0.55,0.2,0.24999999999999994,0.8507295173961841,0.37988490196899544
0.55,0.25,0.19999999999999996,0.8529741863075196,0.38037314178074555
0.55,0.30000000000000004,0.1499999999999999,0.8484848484848485,0.3812273944252463
0.55,0.35000000000000003,0.09999999999999992,0.8484848484848485,0.3824999954875594
0.55,0.4,0.04999999999999993,0.8484848484848485,0.38427312825378557
0.6000000000000001,0.0,0.3999999999999999,0.8451178451178452,0.380149207081077
0.6000000000000001,0.05,0.3499999999999999,0.8507295173961841,0.3796864905851132
0.6000000000000001,0.1,0.29999999999999993,0.8496071829405163,0.37951592646933846
0.6000000000000001,0.15000000000000002,0.2499999999999999,0.8518518518518519,0.37965464004733257
0.6000000000000001,0.2,0.1999999999999999,0.8540965207631874,0.38012763671276234
0.6000000000000001,0.25,0.1499999999999999,0.8496071829405163,0.38097110390584643
0.6000000000000001,0.30000000000000004,0.09999999999999987,0.8507295173961841,0.3822387252553018
0.6000000000000001,0.35000000000000003,0.04999999999999988,0.8496071829405163,0.38401518742788654
0.65,0.0,0.35,0.8484848484848485,0.37962413258225913
0.65,0.05,0.3,0.8518518518518519,0.3794334890069933
0.65,0.1,0.24999999999999997,0.8518518518518519,0.37955650651479866
0.65,0.15000000000000002,0.19999999999999996,0.8518518518518519,0.380018802542613
0.65,0.2,0.14999999999999997,0.8529741863075196,0.3808577061444631
0.65,0.25,0.09999999999999998,0.8496071829405163,0.3821289547239771
0.65,0.30000000000000004,0.04999999999999993,0.8507295173961841,0.38392113064970634
0.7000000000000001,0.0,0.29999999999999993,0.8496071829405163,0.37948172772957617
0.7000000000000001,0.05,0.24999999999999994,0.8529741863075196,0.3795925429950939
0.7000000000000001,0.1,0.19999999999999993,0.8529741863075196,0.3800491288100066
0.7000000000000001,0.15000000000000002,0.1499999999999999,0.8529741863075196,0.3808904605016336
0.7000000000000001,0.2,0.09999999999999992,0.8518518518518519,0.3821752540883562
0.7000000000000001,0.25,0.04999999999999993,0.8496071829405163,0.3839978833407261
0.75,0.0,0.25,0.8496071829405163,0.37976614946350007
0.75,0.05,0.2,0.8540965207631874,0.38022269069263614
0.75,0.1,0.15,0.8507295173961841,0.3810745858826154
0.75,0.15000000000000002,0.09999999999999998,0.8518518518518519,0.3823847988739296
0.75,0.2,0.04999999999999999,0.8507295173961841,0.38425621120458364
0.75,0.25,0.0,0.8507295173961841,0.3868823500422286
0.8,0.0,0.19999999999999996,0.8484848484848485,0.3805454762469385
0.8,0.05,0.14999999999999997,0.8518518518518519,0.3814177592031459
0.8,0.1,0.09999999999999995,0.8507295173961841,0.3827682128375041
0.8,0.15000000000000002,0.04999999999999993,0.8507295173961841,0.3847123526531903
0.8500000000000001,0.0,0.1499999999999999,0.8496071829405163,0.3819309301103466
0.8500000000000001,0.05,0.09999999999999991,0.8484848484848485,0.38334101835880435
0.8500000000000001,0.1,0.049999999999999906,0.8518518518518519,0.38539106412953067
0.9,0.0,0.09999999999999998,0.8496071829405163,0.38412628445831426
0.9,0.05,0.049999999999999975,0.8507295173961841,0.3863319141392828
0.9500000000000001,0.0,0.04999999999999993,0.8507295173961841,0.38760469942836256
1.0,0.0,0.0,0.8540965207631874,0.3949264454620243
