Model,Untuned CV Accuracy,Tuned CV Accuracy,Improvement,Tuned CV Std,Tuned Train-CV Gap
Gradient Boosting,0.838359173937606,0.8383654510074697,6.2770698637804045e-06,0.01221320048560473,0.08812059466125088
Logistic Regression,0.8361308141359614,0.8361308141359614,0.0,0.009793665365456472,-0.0033590159103913386
Random Forest,0.8406189190885694,0.8540644027368023,0.013445483648232837,0.016888390851373895,0.07691169131113562
