Model,OOF Accuracy,OOF Log Loss,Fold Mean,Fold Std,Fold Min,Fold Max
Gradient Boosting,0.8473625140291807,0.37560977843433985,0.8473542150524136,0.013568429191109926,0.8202247191011236,0.8547486033519553
Random Forest,0.8462401795735129,0.3755190960496185,0.8462306195467957,0.012211467920633084,0.8314606741573034,0.8595505617977528
Extra Trees,0.8451178451178452,0.38140145750078214,0.8451007469713139,0.013280752007145787,0.8258426966292135,0.8603351955307262
Logistic Regression,0.835016835016835,0.3953571943274662,0.8350009415604795,0.014199647755256388,0.8089887640449438,0.8491620111731844
