Model,Feature Set,Mean CV Accuracy,CV Std,Train Accuracy,Train-CV Gap
Gradient Boosting,04_Add_Cabin,0.838359173937606,0.018780699316993665,0.9071264793482202,0.06876730541061427
Logistic Regression,02_Core_Title,0.8361308141359614,0.009793665365456472,0.8333324140756734,-0.0027984000602879755
Random Forest,07_Add_Interaction,0.8406189190885694,0.009936214970106353,0.9927041145972864,0.1520851955087169
