Threshold,Accuracy
0.4,0.835016835016835
0.41,0.8372615039281706
0.42,0.8361391694725028
0.43,0.8406285072951739
0.44,0.8395061728395061
0.45,0.8395061728395061
0.46,0.8406285072951739
0.47,0.8439955106621774
0.48,0.8462401795735129
0.49,0.8473625140291807
0.5,0.8496071829405163
0.51,0.8417508417508418
0.52,0.8417508417508418
0.53,0.8439955106621774
0.54,0.8417508417508418
0.55,0.8417508417508418
0.56,0.8406285072951739
0.57,0.8395061728395061
0.58,0.8428731762065096
0.59,0.8406285072951739
0.6,0.8417508417508418
