Model,Train Accuracy,Mean CV Accuracy,CV Std,Min CV Accuracy,Max CV Accuracy,Train-CV Gap
Random Forest,0.9927041145972864,0.8372418555018518,0.014408417394779579,0.8202247191011236,0.8547486033519553,0.15546225909543454
Hist Gradient Boosting,0.9741840931654506,0.83611198292637,0.016280272582697194,0.8146067415730337,0.8603351955307262,0.13807211023908061
Gradient Boosting,0.9175087066832658,0.8349946644906158,0.01593062456684275,0.8202247191011236,0.8547486033519553,0.08251404219265002
Logistic Regression,0.8498861433726775,0.8260121775155357,0.017265555056992527,0.797752808988764,0.8491620111731844,0.023873965857141854
Extra Trees,0.9927041145972864,0.8158935408951102,0.023674599560855263,0.7865168539325843,0.8547486033519553,0.17681057370217612
Decision Tree,0.9927041145972864,0.8125478626577113,0.022801257339858615,0.7696629213483146,0.8324022346368715,0.18015625193957507
